Products Collection ID,Product ID,Variants Collection ID,Variant ID,Product Handle,Product Name,Product Type,Product Description,Product Categories,Main Variant Image,More Variant Images,Variant Price,Variant Compare-at Price,Product Tax Class,Variant Sku,Variant Inventory,Requires Shipping,Variant Weight,Variant Width,Variant Height,Variant Length,Variant Download Name,Variant Download URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Created On,Updated On,Published On
66c25bced6f79a015a9fd6ee,66d0b21217715588c1b331bd,66c25bced6f79a015a9fd6ef,66d0b21356e6a05d0fd43a1e,airbrush-root-touch-up-spray-multi-color,Airbrush Root Touch-Up Spray (Multi-Color),Service,Instantly cover greys and roots or revive highlights between appointments. Microfine pigments blend seamlessly with your natural shade when—and where—you need it. The quick-drying powder formula also absorbs dirt and oil to refresh hair.,Beautiful Color,https://cdn.prod.website-files.com/66c254c9a3d76f7428d258ec/66d0b1d0ba08ef53beb62356_Airbrush%20Root%20Touch-Up%20Spray%20(Multi-Color).webp,,$36.00,,standard-taxable,,,false,,,,,,,Color,Dark Brown,,,,,Thu Aug 29 2024 17:38:26 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:28:09 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:46:47 GMT+0000 (Coordinated Universal Time)
66c25bced6f79a015a9fd6ee,66d0b21217715588c1b331bd,66c25bced6f79a015a9fd6ef,66d0b21356e6a05d0fd43a0e,airbrush-root-touch-up-spray-multi-color,Airbrush Root Touch-Up Spray (Multi-Color),Service,Instantly cover greys and roots or revive highlights between appointments. Microfine pigments blend seamlessly with your natural shade when—and where—you need it. The quick-drying powder formula also absorbs dirt and oil to refresh hair.,Beautiful Color,https://cdn.prod.website-files.com/66c254c9a3d76f7428d258ec/66d0b1d0ba08ef53beb62356_Airbrush%20Root%20Touch-Up%20Spray%20(Multi-Color).webp,,$36.00,,standard-taxable,,,false,,,,,,,Color,Red,,,,,Thu Aug 29 2024 17:38:26 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:28:09 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:46:47 GMT+0000 (Coordinated Universal Time)
66c25bced6f79a015a9fd6ee,66d0b21217715588c1b331bd,66c25bced6f79a015a9fd6ef,66d0b21356e6a05d0fd43a01,airbrush-root-touch-up-spray-multi-color,Airbrush Root Touch-Up Spray (Multi-Color),Service,Instantly cover greys and roots or revive highlights between appointments. Microfine pigments blend seamlessly with your natural shade when—and where—you need it. The quick-drying powder formula also absorbs dirt and oil to refresh hair.,Beautiful Color,https://cdn.prod.website-files.com/66c254c9a3d76f7428d258ec/66d0b1d0ba08ef53beb62356_Airbrush%20Root%20Touch-Up%20Spray%20(Multi-Color).webp,,$36.00,,standard-taxable,,,false,,,,,,,Color,Light Brown,,,,,Thu Aug 29 2024 17:38:26 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:28:09 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:46:47 GMT+0000 (Coordinated Universal Time)
66c25bced6f79a015a9fd6ee,66d0b21217715588c1b331bd,66c25bced6f79a015a9fd6ef,66d0b21356e6a05d0fd439ff,airbrush-root-touch-up-spray-multi-color,Airbrush Root Touch-Up Spray (Multi-Color),Service,Instantly cover greys and roots or revive highlights between appointments. Microfine pigments blend seamlessly with your natural shade when—and where—you need it. The quick-drying powder formula also absorbs dirt and oil to refresh hair.,Beautiful Color,https://cdn.prod.website-files.com/66c254c9a3d76f7428d258ec/66d0b1d0ba08ef53beb62356_Airbrush%20Root%20Touch-Up%20Spray%20(Multi-Color).webp,,$36.00,,standard-taxable,,,false,,,,,,,Color,Blonde,,,,,Thu Aug 29 2024 17:38:26 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:28:09 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:46:47 GMT+0000 (Coordinated Universal Time)
66c25bced6f79a015a9fd6ee,66d0b21217715588c1b331bd,66c25bced6f79a015a9fd6ef,66d0b21356e6a05d0fd439fd,airbrush-root-touch-up-spray-multi-color,Airbrush Root Touch-Up Spray (Multi-Color),Service,Instantly cover greys and roots or revive highlights between appointments. Microfine pigments blend seamlessly with your natural shade when—and where—you need it. The quick-drying powder formula also absorbs dirt and oil to refresh hair.,Beautiful Color,https://cdn.prod.website-files.com/66c254c9a3d76f7428d258ec/66d0b1d0ba08ef53beb62356_Airbrush%20Root%20Touch-Up%20Spray%20(Multi-Color).webp,,$36.00,,standard-taxable,,,false,,,,,,,Color,Black,,,,,Thu Aug 29 2024 17:38:26 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:28:09 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:46:47 GMT+0000 (Coordinated Universal Time)
66c25bced6f79a015a9fd6ee,66d0af6e9272441feb8bef29,66c25bced6f79a015a9fd6ef,66d0af6e3479c2efd668aefc,airstyle-flexible-finish-cream,AirStyle Flexible Finish Cream,Service,"Soft, flexible texture and a moisturizing satin finish: Our whipped-crème confection is an elegant shortcut to next-day hair and subdued frizz, with separation that can be reworked.",Signature,https://cdn.prod.website-files.com/66c254c9a3d76f7428d258ec/66d0af51564a004738ea2a61_AirStyle%20Flexible%20Finish%20Cream.webp,,$42.00,,standard-taxable,,,false,,,,,,,,,,,,,Thu Aug 29 2024 17:27:10 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:36:49 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:46:47 GMT+0000 (Coordinated Universal Time)
66c25bced6f79a015a9fd6ee,66d0ab6e7f46f54acedfd1b4,66c25bced6f79a015a9fd6ef,66d0ab6f43fe0b0765640a84,apres-beach-wave-and-shine-spray,Après Beach Wave and Shine Spray,Service,"Attention island-hoppers and champagne-poppers: Get beach-to-bombshell hair—tousled, touchable waves with sun-kissed shine—without the salty stiffness. Our moisturizing glamour spray uses rich extracts and exotic oils for lush repair and sultry texture.",Brilliance & Shine,https://cdn.prod.website-files.com/66c254c9a3d76f7428d258ec/66d0ab2a67c51135f72eda8a_Apre%CC%80s%20Beach%20Wave%20and%20Shine%20Spray.webp,,$46.00,,standard-taxable,,,false,,,,,,,Size,Travel (2.1 oz),,,,,Thu Aug 29 2024 17:10:06 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:28:51 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:46:47 GMT+0000 (Coordinated Universal Time)
66c25bced6f79a015a9fd6ee,66d0ab6e7f46f54acedfd1b4,66c25bced6f79a015a9fd6ef,66d0ab6f43fe0b0765640a7c,apres-beach-wave-and-shine-spray,Après Beach Wave and Shine Spray,Service,"Attention island-hoppers and champagne-poppers: Get beach-to-bombshell hair—tousled, touchable waves with sun-kissed shine—without the salty stiffness. Our moisturizing glamour spray uses rich extracts and exotic oils for lush repair and sultry texture.",Brilliance & Shine,https://cdn.prod.website-files.com/66c254c9a3d76f7428d258ec/66d0ab2a67c51135f72eda8a_Apre%CC%80s%20Beach%20Wave%20and%20Shine%20Spray.webp,,$67.00,,standard-taxable,,,false,,,,,,,Size,Regular (8.5 oz),,,,,Thu Aug 29 2024 17:10:06 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:28:51 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:46:47 GMT+0000 (Coordinated Universal Time)
66c25bced6f79a015a9fd6ee,66d0c6fe1d84f76750bb54e7,66c25bced6f79a015a9fd6ef,66d0c6ffdd45a4c99122fd4f,bright-blonde-conditioner,Bright Blonde Conditioner,Service,"Restore brightness and shine to blonde hair. This deeply nourishing violet conditioner corrects brassiness and yellow tones while imparting strength, softness and sheen for hair that is truly enlightened.",Beautiful Color,https://cdn.prod.website-files.com/66c254c9a3d76f7428d258ec/66d0c764a29cec99e8cb6c32_Bright%20Blonde%20Conditioner.webp,,$52.00,,standard-taxable,,,false,,,,,,,,,,,,,Thu Aug 29 2024 19:07:42 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:03:38 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:46:47 GMT+0000 (Coordinated Universal Time)
66c25bced6f79a015a9fd6ee,66d0981af06506e2753ccbb6,66c25bced6f79a015a9fd6ef,66d0981b991546023dcd2b9d,bright-blonde-essential-priming-serum,Bright Blonde Essential Priming Serum,Service,"An essential first step when caring for blonde hair. Specially formulated with violet and pearlized pigments, our brightening serum tones and eliminates brassiness while replenishing moisture and protecting up to 450°F. Hair is left restored, touchably soft and lit from within.",Beautiful Color,https://cdn.prod.website-files.com/66c254c9a3d76f7428d258ec/66d0973a16ab20968757748d_Bright%20Blonde%20Sun%20Lightening%20Mist.webp,,$44.00,,standard-taxable,,,false,,,,,,,,,,,,,Thu Aug 29 2024 15:47:38 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:12:33 GMT+0000 (Coordinated Universal Time),Fri May 02 2025 19:46:47 GMT+0000 (Coordinated Universal Time)
